timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
364425461,-0.277149,-0.257155,-0.167036,4002,0,-6.40258,22.1956,-10.7138,4002
364429462,0.22559,0.105864,0.229016,4001,0,2.63243,-12.061,-6.58817,4001
364433461,-0.207533,-0.25739,-0.23244,3999,0,7.01685,-9.21233,-12.5094,3999
364437461,-0.58858,-0.246809,-0.143802,4000,0,-11.471,19.2991,-9.6919,4000
364441461,0.55845,0.374587,0.251969,4000,0,-3.06212,-10.0394,-7.44096,4000
364445461,-0.290782,-0.014626,-0.172053,4000,0,15.9665,-8.64844,-10.5302,4000
364449461,-0.551996,-0.335198,-0.208308,4000,0,-8.95692,16.54,-9.46445,4000
364453460,0.547267,0.235682,0.169263,3999,0,-12.609,-10.339,-10.4996,3999
364457460,-0.595357,0.385255,-0.0496113,4000,0,17.8605,-5.52302,-8.25832,4000
364461461,-0.113955,-0.324573,-0.175485,4001,0,-0.577988,16.1026,-9.57632,4001
364465460,0.272739,0.130618,0.0334015,3999,0,-17.9139,-12.8194,-10.688,3999
364469462,-0.439128,0.435457,0.0639776,4002,0,14.1027,-3.51026,-8.84974,4002
364473461,-0.0344239,-0.222664,-0.160831,3999,0,6.25474,15.9322,-8.42124,3999
364477462,0.186003,0.156754,-0.0517408,4001,0,-19.3513,-14.714,-10.2217,4001
364482282,-0.378896,0.342936,0.0990586,4820,0,11.228,2.53886,-8.98542,4820
364486237,0.164423,-0.15316,-0.143335,3955,0,3.76051,12.983,-7.81343,3955
364490235,0.209002,0.245339,-0.0206053,3998,0,-17.5681,-23.9274,-11.104,3998
364494237,-0.714027,0.282787,0.112746,4002,0,10.0895,7.38054,-10.3497,4002
364498283,0.166926,-0.0254142,-0.107981,4046,0,8.24213,19.4026,-6.52443,4046
364502284,0.579735,0.184335,-0.0742464,4001,0,-16.2108,-28.2441,-11.7805,4001
364506236,-0.990069,0.223367,0.13934,3952,0,5.01387,0.357317,-10.2094,3952
364510282,-0.00850078,0.0755118,-0.0909363,4046,0,9.11611,29.3279,-7.03523,4046
364514282,0.958699,0.172274,-0.106234,4000,0,-10.4199,-25.0141,-9.61832,4000
364518236,-0.874747,0.152177,0.167428,3954,0,0.801835,-12.3755,-11.2581,3954
364522282,-0.256388,0.0895972,0.0702549,4046,0,6.45447,33.844,-8.9824,4046
364527079,0.965444,0.191948,-0.166163,4797,0,-5.44395,-21.4864,-8.14597,4797
