timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
394526423,394526276,-0.155683,-0.113612,-0.17844,0.211739,0.0,0.0,0.0,1.0
394628019,394627875,0.197777,-0.0033672,-0.0665437,0.217886,0.0,0.0,0.0,1.0
394726386,394726235,0.0498649,0.15115,0.0564624,0.214006,0.0,0.0,0.0,1.0
394828035,394827882,0.0153074,-0.0791866,-0.221226,0.219034,0.0,0.0,0.0,1.0
394929625,394929480,0.00317156,-0.0840887,-0.0335493,0.204356,0.0,0.0,0.0,1.0
395031230,395031074,0.0020013,-0.151277,-0.151196,0.194623,0.0,0.0,0.0,1.0
395133620,395133480,0.0619798,-0.114632,-0.122999,0.196128,0.0,0.0,0.0,1.0
395235230,395235079,0.0449323,0.0940061,0.0210094,0.184544,0.0,0.0,0.0,1.0
395336810,395336662,-0.114097,-0.180722,-0.268141,0.186089,0.0,0.0,0.0,1.0
395438424,395438276,0.0903929,-0.183806,-0.229594,0.183664,0.0,0.0,0.0,1.0
395540014,395539876,0.14457,0.0401691,-0.14173,0.18746,0.0,0.0,0.0,1.0
395641631,395641484,-0.0927787,-0.0571746,-0.182161,0.18871,0.0,0.0,0.0,1.0
395744025,395743878,0.0996543,-0.0768541,-0.179589,0.196244,0.0,0.0,0.0,1.0
395845624,395845478,-0.0569759,-0.0337643,-0.123151,0.200119,0.0,0.0,0.0,1.0
395947238,395947080,-0.0436092,0.0107358,-0.224809,0.205157,0.0,0.0,0.0,1.0
396048831,396048682,0.180024,-0.0202755,-0.0069538,0.205734,0.0,0.0,0.0,1.0
396151190,396151041,0.136143,-0.0900698,-0.193205,0.212008,0.0,0.0,0.0,1.0
396248818,396248676,0.00825309,-0.019339,-0.0771442,0.212233,0.0,0.0,0.0,1.0
396350435,396350283,-0.117991,-0.0489892,-0.200162,0.198274,0.0,0.0,0.0,1.0
396452043,396451889,0.0180758,-0.101612,-0.133179,0.194784,0.0,0.0,0.0,1.0
396553627,396553478,0.163517,0.0509586,0.00759966,0.193244,0.0,0.0,0.0,1.0
396655229,396655072,-0.0897588,-0.0898208,-0.0463468,0.196422,0.0,0.0,0.0,1.0
396757616,396757478,0.141244,-0.000510113,-0.14135,0.194857,0.0,0.0,0.0,1.0
396859272,396859078,0.111392,-0.144335,-0.0728557,0.183672,0.0,0.0,0.0,1.0
396960806,396960660,-0.255569,-0.093563,-0.294797,0.194774,0.0,0.0,0.0,1.0
397062387,397062235,0.126901,-0.0226101,-0.15482,0.206018,0.0,0.0,0.0,1.0
397164810,397164657,0.0152631,0.00230194,0.0691666,0.213239,0.0,0.0,0.0,1.0
397266417,397266262,-0.0280346,-0.147329,-0.285935,0.218853,0.0,0.0,0.0,1.0
397368031,397367884,0.242573,0.0826383,0.0940672,0.207393,0.0,0.0,0.0,1.0
397469617,397469476,0.0974826,-0.0741669,-0.0187484,0.221351,0.0,0.0,0.0,1.0
397571232,397571078,-0.206422,-0.0146153,-0.134551,0.227081,0.0,0.0,0.0,1.0
397672804,397672659,0.283213,-0.0397173,-0.0753825,0.228865,0.0,0.0,0.0,1.0
397775177,397775041,-0.0319128,-0.118624,-0.174259,0.213384,0.0,0.0,0.0,1.0
397872807,397872676,0.158723,-0.0497001,-0.153681,0.217164,0.0,0.0,0.0,1.0
397974409,397974263,0.0939521,0.0338888,-0.0805049,0.218052,0.0,0.0,0.0,1.0
398075964,398075835,0.248432,-0.0442561,-0.193044,0.227708,0.0,0.0,0.0,1.0
398177612,398177476,0.000734288,-0.145038,-0.154193,0.212145,0.0,0.0,0.0,1.0
398280012,398279863,-0.00305466,-0.0292163,-0.099372,0.220727,0.0,0.0,0.0,1.0
398381579,398381435,-0.205645,-0.120666,-0.132221,0.202902,0.0,0.0,0.0,1.0
398483230,398483079,0.0709466,0.0329583,-0.182367,0.21303,0.0,0.0,0.0,1.0
398584826,398584677,-0.239001,-0.103364,-0.190325,0.205783,0.0,0.0,0.0,1.0
398686409,398686262,0.235208,-0.155608,-0.040776,0.200027,0.0,0.0,0.0,1.0
398788804,398788657,-0.0496076,-0.0366346,0.00494949,0.206543,0.0,0.0,0.0,1.0
398890422,398890275,-0.147114,-0.142883,-0.225763,0.199334,0.0,0.0,0.0,1.0
398992003,398991858,0.0985973,0.0932089,-0.0284915,0.20545,0.0,0.0,0.0,1.0
399093623,399093479,-0.0609827,-0.0691147,-0.257584,0.201586,0.0,0.0,0.0,1.0
399195232,399195080,-0.116324,-0.0701977,-0.136481,0.207031,0.0,0.0,0.0,1.0
399297617,399297461,-0.179451,-0.140863,-0.283023,0.215487,0.0,0.0,0.0,1.0
399399240,399399038,0.109729,-0.0242654,-0.230793,0.229248,0.0,0.0,0.0,1.0
399496824,399496676,0.0345425,-0.0534169,-0.141344,0.212883,0.0,0.0,0.0,1.0
399598430,399598280,-0.0286882,0.000443134,-0.256608,0.214143,0.0,0.0,0.0,1.0
399699983,399699835,0.103627,0.00574522,0.0519603,0.210541,0.0,0.0,0.0,1.0
399802417,399802280,0.231218,-0.0451307,-0.0426491,0.220035,0.0,0.0,0.0,1.0
399904010,399903879,-0.0802468,0.0250979,-0.14488,0.22361,0.0,0.0,0.0,1.0
400005609,400005484,0.200513,-0.0839572,-0.18151,0.218235,0.0,0.0,0.0,1.0
400107231,400107080,0.0991223,-0.0209696,-0.0125293,0.215433,0.0,0.0,0.0,1.0
400208810,400208677,0.0141438,-0.0338712,-0.0892112,0.21516,0.0,0.0,0.0,1.0
400311181,400311035,0.0252921,-0.0715445,-0.155977,0.221165,0.0,0.0,0.0,1.0
400412810,400412660,-0.0227581,-0.0657233,-0.043387,0.199692,0.0,0.0,0.0,1.0
400514426,400514275,0.112425,0.00436426,-0.0836623,0.200593,0.0,0.0,0.0,1.0
400616002,400615860,-0.0646045,-0.178604,-0.219685,0.209175,0.0,0.0,0.0,1.0
400717626,400717483,0.170616,0.0873273,0.120019,0.213644,0.0,0.0,0.0,1.0
400820033,400819878,-0.15986,-0.213907,-0.308832,0.204233,0.0,0.0,0.0,1.0
400921612,400921461,-0.0531424,-0.0689016,-0.0775992,0.202091,0.0,0.0,0.0,1.0
401023189,401023041,-0.133421,0.0273028,-0.297622,0.194593,0.0,0.0,0.0,1.0
401121621,401121478,-0.0930908,-0.0923958,-0.204435,0.198426,0.0,0.0,0.0,1.0
401222428,401222276,0.0589264,0.0927823,0.0164465,0.207196,0.0,0.0,0.0,1.0
401324828,401324683,0.071854,-0.0613466,-0.179431,0.220469,0.0,0.0,0.0,1.0
401426430,401426280,0.135507,-0.00191392,-0.106117,0.206773,0.0,0.0,0.0,1.0
401528021,401527880,-0.164012,-0.101259,-0.254742,0.222226,0.0,0.0,0.0,1.0
401629605,401629462,-0.021554,-0.00103205,-0.0363728,0.211474,0.0,0.0,0.0,1.0
401731195,401731041,-0.0653518,-0.171567,-0.179825,0.210193,0.0,0.0,0.0,1.0
401833610,401833478,0.0459379,0.0505568,-0.00242587,0.189852,0.0,0.0,0.0,1.0
401935195,401935061,-0.181341,-0.305991,-0.189951,0.194394,0.0,0.0,0.0,1.0
